Nom;Dispo_alim;Prod_viande;Import_viande;Export_viande;Population
Afghanistan;2240,0;313,0;45,0;0,0;37171921,0
Afrique du Sud;2857,0;3447,0;448,0;135,0;57792518,0
Albanie;3301,0;79,0;33,0;;2882740,0
Algérie;3487,0;799,0;24,0;1,0;42228408,0
Allemagne;3628,0;7822,0;2421,0;3344,0;83124418,0
Angola;2390,0;342,0;314,0;0,0;30809787,0
Antigua-et-Barbuda;2420,0;0,0;8,0;0,0;96286,0
Arabie saoudite;3312,0;1209,0;802,0;67,0;33702756,0
Argentine;3338,0;6227,0;39,0;992,0;44361150,0
Arménie;3215,0;107,0;47,0;1,0;2951745,0
Australie;3422,0;4797,0;275,0;1976,0;24898152,0
Autriche;3698,0;872,0;341,0;481,0;8891388,0
Azerbaïdjan;3414,0;346,0;48,0;0,0;9949537,0
Bahamas;2528,0;7,0;45,0;;385637,0
Bahreïn;3484,0;41,0;101,0;0,0;1569446,0
Bangladesh;2575,0;706,0;7,0;0,0;161376708,0
Barbade;3009,0;19,0;11,0;0,0;286641,0
Belgique;3815,0;1804,0;687,0;1639,0;11482178,0
Belize;2768,0;22,0;9,0;0,0;383071,0
Bhoutan;3287,0;7,0;4,0;;754388,0
Bolivie (État plurinational de);2485,0;922,0;7,0;24,0;11353142,0
Bosnie-Herzégovine;3348,0;89,0;68,0;17,0;3323925,0
Botswana;2595,0;65,0;9,0;8,0;2254068,0
Brésil;3343,0;29346,0;62,0;8269,0;209469323,0
Bulgarie;2894,0;203,0;285,0;61,0;7051608,0
Burkina Faso;2743,0;716,0;0,0;0,0;19751466,0
Burundi;1744,0;36,0;1,0;0,0;11175374,0
Bélarus;3313,0;1262,0;64,0;436,0;9452617,0
Bénin;2848,0;85,0;92,0;0,0;11485044,0
Cabo Verde;2613,0;5,0;17,0;;543766,9999999998
Cambodge;2770,0;182,0;35,0;0,0;16249792,0
Cameroun;2794,0;306,0;3,0;0,0;25216267,000000004
Canada;3583,0;5194,0;778,0;2291,0;37074562,000000015
Chili;3154,0;1600,0;489,0;456,0;18729160,0
Chine;3337,0;76680,0;11558,0;885,0;
Chine - RAS de Hong-Kong;3199,0;155,0;1288,0;130,0;7371730,0
Chine - RAS de Macao;3120,0;9,0;62,0;;631636,0
Chine, Taiwan Province de;2985,0;1612,0;490,0;11,0;23726460,0
Chine, continentale;3344,0;74905,0;9718,0;743,0;1427647785,9999995
Chypre;3087,0;79,0;27,0;2,0;1189265,0
Colombie;2960,0;2820,0;200,0;46,0;49661048,0
Comores;2323,0;2,0;27,0;;832322,0
Congo;2220,0;59,0;164,0;0,0;5244359,0
Costa Rica;3032,0;295,0;45,0;48,0;4999441,0
Croatie;3161,0;230,0;182,0;57,0;4156404,9999999995
Cuba;3339,0;223,0;473,0;;11338133,999999998
Côte d'Ivoire;2977,0;289,0;25,0;0,0;25069230,0
Danemark;3453,0;1886,0;405,0;1660,0;5752126,0
Djibouti;2804,0;11,0;4,0;0,0;958923,0
Dominique;2928,0;1,0;4,0;;71625,0
El Salvador;2685,0;176,0;81,0;4,0;6420746,0
Espagne;3354,0;7499,0;507,0;3224,0;46692858,0
Estonie;3175,0;77,0;67,0;46,0;1322920,0
Eswatini;2581,0;26,0;7,0;1,0;1136281,0
Fidji;2908,0;33,0;9,0;1,0;883483,0000000002
Finlande;3363,0;409,0;78,0;62,0;5522576,0
France;3538,0;5417,0;1442,0;1237,0;64990511,0
Fédération de Russie;3407,0;11226,0;571,0;453,0;145734038,0
Gabon;2611,0;40,0;110,0;0,0;2119275,0
Gambie;2522,0;9,0;28,0;0,0;2280094,0
Ghana;3199,0;258,0;319,0;0,0;29767102,000000007
Grenade;2536,0;1,0;8,0;0,0;111454,0
Grèce;3337,0;442,0;420,0;59,0;10522246,0
Guatemala;2616,0;684,0;182,0;32,0;17247849,0
Guinée;2870,0;154,0;57,0;0,0;12414293,0
Guinée-Bissau;2241,0;27,0;3,0;;1874303,0
Guyana;3173,0;47,0;4,0;0,0;779006,0000000002
Géorgie;3043,0;69,0;87,0;14,0;4002942,0
Haïti;2092,0;101,0;129,0;0,0;11123178,0
Honduras;2685,0;268,0;65,0;7,0;9587522,0
Hongrie;3352,0;1017,0;342,0;463,0;9707499,0
Inde;2599,0;7285,0;1,0;958,0;1352642280,0
Indonésie;2924,0;4673,0;230,0;6,0;267670543,0
Iran (République islamique d');3089,0;3111,0;133,0;51,0;81800188,0
Iraq;2688,0;255,0;99,0;2,0;38433600,0
Irlande;3857,0;1189,0;237,0;1058,0;4818690,0
Islande;3659,0;31,0;4,0;2,0;336713,0
Israël;3613,0;839,0;91,0;6,0;8381516,0
Italie;3563,0;3485,0;1536,0;696,0;60627291,0
Jamaïque;2691,0;139,0;39,0;1,0;2934847,0
Japon;2679,0;4135,0;3260,0;21,0;127202192,0
Jordanie;2472,0;297,0;114,0;30,0;9965318,0
Kazakhstan;3413,0;1161,0;292,0;27,0;18319618,0
Kenya;2193,0;593,0;3,0;16,0;51392565,0
Kirghizistan;2696,0;239,0;31,0;1,0;6304030,0
Kiribati;3078,0;2,0;3,0;;115847,0
Koweït;3459,0;120,0;209,0;12,0;4137312,0
Lesotho;2022,0;10,0;15,0;0,0;2108328,0
Lettonie;3228,0;90,0;111,0;50,0;1928459,0
Liban;2857,0;179,0;28,0;6,0;6859408,0
Libye;3138,0;185,0;109,0;;6678559,0
Libéria;2111,0;41,0;56,0;;4818973,0
Lituanie;3478,0;227,0;155,0;117,0;2801264,0
Luxembourg;3522,0;23,0;36,0;10,0;604245,0
Macédoine du Nord;3159,0;23,0;70,0;7,0;2082957,0000000007
Madagascar;1805,0;161,0;0,0;0,0;26262313,0
Malaisie;3010,0;1867,0;297,0;61,0;31528033,0
Malawi;2660,0;451,0;0,0;0,0;18143217,0
Maldives;2256,0;;16,0;0,0;515696,0
Mali;2916,0;182,0;3,0;0,0;19077749,0
Malte;3358,0;10,0;27,0;0,0;439248,0000000001
Maroc;3354,0;1447,0;9,0;12,0;36029093,0
Maurice;3055,0;50,0;16,0;0,0;1267185,0
Mauritanie;2915,0;120,0;35,0;0,0;4403313,0
Mexique;3174,0;7537,0;1952,0;631,0;126190788,0
Micronésie (États fédérés de);2749,0;1,0;6,0;;112640,0
Mongolie;2960,0;640,0;19,0;42,0;3170216,0
Monténégro;3474,0;14,0;37,0;3,0;627809,0
Mozambique;2048,0;229,0;33,0;0,0;29496004,0
Myanmar;2871,0;3457,0;2,0;1,0;53708320,0
Namibie;2550,0;73,0;37,0;25,0;2448301,0
Nauru;3127,0;0,0;1,0;;10670,0
Nicaragua;2668,0;307,0;34,0;140,0;6465501,0
Niger;2629,0;196,0;4,0;0,0;22442822,0
Nigéria;2587,0;1450,0;1,0;0,0;195874683,0
Norvège;3446,0;356,0;35,0;5,0;5337962,0
Nouvelle-Calédonie;2908,0;7,0;18,0;0,0;279993,0
Nouvelle-Zélande;3214,0;1453,0;89,0;1056,0;4743130,999999999
Népal;2898,0;412,0;0,0;0,0;28095714,0
Oman;2997,0;88,0;149,0;10,0;4829473,0
Ouganda;2211,0;410,0;0,0;1,0;42729035,99999999
Ouzbékistan;3275,0;1212,0;67,0;0,0;32476244,0
Pakistan;2470,0;4713,0;1,0;91,0;212228286,0
Panama;2980,0;324,0;55,0;6,0;4176869,0000000014
Papouasie-Nouvelle-Guinée;2272,0;507,0;47,0;0,0;8606323,0
Paraguay;2771,0;660,0;8,0;377,0;6956066,0
Pays-Bas;3521,0;3119,0;1609,0;3449,0;17059560,0
Philippines;2856,0;3125,0;575,0;3,0;106651394,0
Pologne;3593,0;5248,0;789,0;2538,0;37921592,0
Polynésie française;2972,0;2,0;29,0;0,0;277679,00000000006
Portugal;3524,0;847,0;332,0;123,0;10256193,0
Pérou;2844,0;2157,0;91,0;1,0;31989260,0
Qatar;3458,0;43,0;185,0;0,0;2781682,0
Roumanie;3638,0;1023,0;566,0;160,0;19506114,0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;3381,0;4213,0;2196,0;999,0;67141684,00000001
Rwanda;2223,0;109,0;0,0;0,0;12301970,0
République arabe syrienne;2870,0;353,0;19,0;0,0;16945057,0
République centrafricaine;1816,0;176,0;10,0;;4666368,0
République de Corée;3443,0;2741,0;1391,0;100,0;51171706,0
République de Moldova;2614,0;130,0;30,0;2,0;4051944,0
République dominicaine;2981,0;442,0;100,0;8,0;10627141,0
République démocratique du Congo;2069,0;166,0;109,0;0,0;84068091,0
République démocratique populaire lao;2772,0;200,0;11,0;0,0;7061507,0
République populaire démocratique de Corée;2077,0;334,0;1,0;;25549604,0
République-Unie de Tanzanie;2394,0;680,0;8,0;1,0;56313438,0
Saint-Kitts-et-Nevis;2508,0;0,0;5,0;;52441,0
Saint-Vincent-et-les Grenadines;2883,0;1,0;10,0;0,0;110211,0
Sainte-Lucie;2630,0;3,0;12,0;;181889,0
Samoa;3095,0;3,0;18,0;0,0;196129,0
Sao Tomé-et-Principe;2418,0;1,0;4,0;;211028,0
Serbie;2914,0;522,0;70,0;38,0;8802754,0
Seychelles;3168,0;1,0;7,0;0,0;97096,0
Sierra Leone;2335,0;47,0;37,0;0,0;7650150,0
Slovaquie;3004,0;140,0;331,0;87,0;5453014,0
Slovénie;3155,0;140,0;94,0;84,0;2077837,0
Soudan;2605,0;1004,0;1,0;11,0;41801533,0
Soudan du Sud;2135,0;252,0;5,0;0,0;10975927,0
Sri Lanka;2845,0;253,0;2,0;2,0;21228763,0
Suisse;3399,0;482,0;107,0;9,0;8525610,999999998
Suriname;2756,0;14,0;22,0;0,0;575990,0
Suède;3252,0;568,0;270,0;76,0;9971638,0
Sénégal;2735,0;281,0;7,0;0,0;15854323,0
Tadjikistan;2782,0;381,0;4,0;;9100835,0
Tchad;2247,0;819,0;2,0;0,0;15477729,0
Tchéquie;3331,0;481,0;567,0;150,0;10665677,0
Thaïlande;2855,0;2871,0;32,0;1043,0;69428453,0
Timor-Leste;2264,0;17,0;14,0;;1267974,0
Togo;2512,0;90,0;17,0;0,0;7889093,000000002
Trinité-et-Tobago;2958,0;67,0;41,0;2,0;1389842,9999999995
Tunisie;3549,0;340,0;2,0;1,0;11565201,0
Turkménistan;2879,0;301,0;23,0;;5850901,0
Turquie;3753,0;3655,0;54,0;587,0;82340088,0
Ukraine;2979,0;2488,0;155,0;471,0;44246156,0
Uruguay;3204,0;620,0;107,0;521,0;3449285,0
Vanuatu;2811,0;6,0;5,0;0,0;292680,0
Venezuela (République bolivarienne du);2286,0;957,0;2,0;0,0;28887118,0
Viet Nam;3005,0;5389,0;536,0;30,0;95545962,0
Yémen;2119,0;417,0;141,0;;28498683,0
Zambie;2343,0;332,0;22,0;10,0;17351708,0
Zimbabwe;1954,0;771,0;1,0;0,0;14438802,0
Égypte;3326,0;2184,0;207,0;5,0;98423598,0
Émirats arabes unis;3076,0;173,0;720,0;170,0;9630959,0
Équateur;2489,0;799,0;2,0;0,0;17084358,0
États-Unis d'Amérique;3926,0;48712,0;2410,0;8598,0;327096265,0
Éthiopie;2407,0;919,0;1,0;12,0;109224414,0
Îles Salomon;2356,0;4,0;6,0;;652857,0
