"Identifiant"	"Quiz1"	"Quiz2"	"Quiz3"	"TD"	"TP"
9888879	NA	20	19,4	1	12
78822554	13	18,95	16,8	1	12
42732157	16	18,42	13,5	2	22
74162693	18	15,26	11	1	11
37245980	16	15,26	12,9	1	12
50282380	15	17,37	9,7	1	11
38087028	14	NA	NA	2	22
75752354	18	8,95	14,8	2	22
78956219	15	13,68	12,9	1	12
27611180	16	14,21	11	2	22
14430390	16,5	11,58	12,9	2	22
41493729	15,5	13,16	12,3	2	21
13261444	18	10,53	12,3	1	12
3627090	15	15,26	10,3	2	21
88783718	15,5	14,74	10,3	2	21
78867543	13	16,32	11	1	11
201330177	15,5	12,63	11,6	1	11
19260428	14,5	14,21	11	2	22
87439545	15	12,63	11,6	2	21
163770314	15	11,05	NA	1	11
2532009	15,5	10	13,5	1	11
210011382	15,5	10,53	12,9	2	21
39871993	17,5	9,47	11,6	2	22
26580322	14	14,74	9,7	2	21
206428138	12,5	14,74	11	1	12
24062251	14,5	12,63	11	1	12
17745385	15,5	NA	9,7	2	22
267960057	16	13,16	8,4	2	21
85947666	14,5	10	12,9	1	12
21384359	16,5	8,95	11,6	1	12
172596215	16	10,53	10,3	1	12
5020784	14,5	13,16	9	1	12
58261004	15,5	10,53	10,3	2	21
92655100	14	11,05	11	1	12
17411342	16	8,42	11,6	1	11
66120819	15	11,05	9	1	11
203171020	11	13,68	10,3	1	11
77480555	16,5	9,47	9	2	21
8883720	14	NA	9	2	22
140383555	15,5	7,89	11	2	21
111505723	16	10,53	7,7	1	11
65480664	16	5,79	12,3	1	11
34199376	14,5	9,47	9,7	2	22
9206881	NA	12,11	10,3	1	11
99343040	NA	10	12,3	1	11
103593550	12	13,68	7,7	1	12
70253682	13,5	8,95	9,7	2	21
223426028	13,5	NA	7,7	2	21
185032484	13	11,05	7,7	2	22
42690322	13	8,42	8,4	2	22
185321325	13	7,37	9	2	21
59669669	9,5	8,95	9	2	21
20972010	NA	6,84	9,7	2	21
183160582	10,5	4,21	6,5	1	12
39198554	NA	6,84	NA	2	22
43177455	NA	6,84	6,5	1	12
128674489	NA	7,37	5,8	1	11
