"Tire"	"Weight"	"Acceleration"	"On.Road.traction"	"Off.Road.Traction"	"Mini.Turbo"	"Ground.Speed"	"Water.Speed"	"Anti.Gravity.Speed"	"Air.Speed"	"Ground.Handling"	"Water.Handling"	"Anti.Gravity.Handling"	"Air.Handling"
"Standard"	2,0	4,0	2,0	5,0	3,0	2,0	3,0	2,0	3,0	3,0	3,0	3,0	3,0
"Monster"	4,0	2,0	3,0	7,0	2,0	2,0	2,0	2,0	1,0	0,0	1,0	0,0	1,0
"Roller"	0,0	6,0	0,0	4,0	6,0	0,0	3,0	0,0	3,0	4,0	4,0	4,0	4,0
"Slim"	2,0	2,0	4,0	1,0	2,0	3,0	2,0	4,0	2,0	4,0	4,0	3,0	4,0
"Slick"	3,0	1,0	4,0	0,0	0,0	4,0	0,0	4,0	0,0	2,0	0,0	2,0	1,0
"Metal"	4,0	0,0	1,0	2,0	0,0	4,0	3,0	1,0	2,0	2,0	2,0	1,0	0,0
"Button"	0,0	5,0	1,0	3,0	5,0	1,0	2,0	2,0	2,0	3,0	3,0	4,0	2,0
"Off-Road"	3,0	3,0	3,0	6,0	1,0	3,0	4,0	2,0	1,0	1,0	1,0	2,0	2,0
"Sponge"	1,0	4,0	2,0	6,0	4,0	1,0	1,0	1,0	4,0	2,0	1,0	2,0	3,0
"Wood"	2,0	2,0	4,0	1,0	2,0	3,0	2,0	4,0	2,0	4,0	4,0	3,0	4,0
"Cushion"	1,0	4,0	2,0	6,0	4,0	1,0	1,0	1,0	4,0	2,0	1,0	2,0	3,0
"Blue Standard"	2,0	4,0	2,0	5,0	3,0	2,0	3,0	2,0	3,0	3,0	3,0	3,0	3,0
"Hot Monster"	4,0	2,0	3,0	7,0	2,0	2,0	2,0	2,0	1,0	0,0	1,0	0,0	1,0
"Azure Roller"	0,0	6,0	0,0	4,0	6,0	0,0	3,0	0,0	3,0	4,0	4,0	4,0	4,0
"Crimson Slim"	2,0	2,0	4,0	1,0	2,0	3,0	2,0	4,0	2,0	4,0	4,0	3,0	4,0
"Cyber Slick"	3,0	1,0	4,0	0,0	0,0	4,0	0,0	4,0	0,0	2,0	0,0	2,0	1,0
"Retro Off-Road"	3,0	3,0	3,0	6,0	1,0	3,0	4,0	2,0	1,0	1,0	1,0	2,0	2,0
"Gold Tires"	4,0	0,0	1,0	2,0	0,0	4,0	3,0	1,0	2,0	2,0	2,0	1,0	0,0
"GLA Tires"	2,0	4,0	2,0	5,0	3,0	2,0	3,0	2,0	3,0	3,0	3,0	3,0	3,0
"Triforce Tires"	3,0	3,0	3,0	6,0	1,0	3,0	4,0	2,0	1,0	1,0	1,0	2,0	2,0
"Leaf Tires"	0,0	5,0	1,0	3,0	5,0	1,0	2,0	2,0	2,0	3,0	3,0	4,0	2,0
